Target Distance :100, Step Size : 2
1: (x,y) = (1.91261, -0.584743)
2: (x,y) = (2.46388, -2.50727)
3: (x,y) = (3.37187, -4.28928)
4: (x,y) = (2.52663, -2.47666)
5: (x,y) = (1.74517, -0.635655)
6: (x,y) = (2.5904, -2.44827)
7: (x,y) = (1.20109, -3.88695)
8: (x,y) = (3.15738, -3.47113)
9: (x,y) = (2.44065, -5.33829)
10: (x,y) = (0.44095, -5.37319)
11: (x,y) = (-0.618888, -3.6771)
12: (x,y) = (0.162574, -1.83609)
13: (x,y) = (1.44815, -0.303997)
14: (x,y) = (1.06653, -2.26725)
15: (x,y) = (-0.774479, -3.04871)
16: (x,y) = (-2.71507, -2.56487)
17: (x,y) = (-1.71507, -0.832819)
18: (x,y) = (-0.5395, -2.45085)
19: (x,y) = (0.691823, -0.874832)
20: (x,y) = (-0.746856, 0.514485)
21: (x,y) = (-1.39799, -1.37655)
22: (x,y) = (0.582544, -1.09821)
23: (x,y) = (0.687216, 0.899053)
24: (x,y) = (1.40395, 2.76621)
25: (x,y) = (2.34289, 4.53211)
26: (x,y) = (0.373279, 4.87941)
27: (x,y) = (1.31222, 6.6453)
28: (x,y) = (1.76212, 4.69656)
29: (x,y) = (2.96575, 3.09929)
30: (x,y) = (4.11291, 4.73759)
31: (x,y) = (5.82724, 3.70752)
32: (x,y) = (3.92513, 4.32555)
33: (x,y) = (5.82724, 3.70752)
34: (x,y) = (4.34095, 5.04578)
35: (x,y) = (2.62662, 6.07585)
36: (x,y) = (4.30396, 4.98658)
37: (x,y) = (4.8887, 6.89919)
38: (x,y) = (6.81123, 7.45046)
39: (x,y) = (5.09689, 6.42038)
40: (x,y) = (6.67291, 5.18906)
41: (x,y) = (7.38965, 7.05622)
42: (x,y) = (9.17166, 6.14824)
43: (x,y) = (8.85879, 4.17287)
44: (x,y) = (7.88917, 5.9221)
45: (x,y) = (7.40533, 7.8627)
46: (x,y) = (9.24634, 7.08123)
47: (x,y) = (7.39197, 7.83045)
48: (x,y) = (5.46945, 8.38172)
49: (x,y) = (3.65683, 9.22696)
50: (x,y) = (1.92478, 8.22696)
51: (x,y) = (-0.0603107, 8.4707)
52: (x,y) = (1.32901, 9.90938)
53: (x,y) = (1.2941, 11.9091)
54: (x,y) = (0.946805, 9.93946)
55: (x,y) = (0.0700626, 11.737)
56: (x,y) = (-1.71195, 12.645)
57: (x,y) = (-0.652112, 10.9489)
58: (x,y) = (0.633463, 12.481)
59: (x,y) = (1.11731, 14.4216)
60: (x,y) = (0.0872309, 16.1359)
61: (x,y) = (-0.430407, 18.0678)
62: (x,y) = (0.983806, 19.482)
63: (x,y) = (1.46765, 17.5414)
64: (x,y) = (1.57232, 19.5387)
65: (x,y) = (2.69071, 21.1968)
66: (x,y) = (3.83786, 19.5584)
67: (x,y) = (4.38914, 17.6359)
68: (x,y) = (3.13049, 19.1902)
69: (x,y) = (1.18175, 18.7403)
70: (x,y) = (-0.280953, 20.1043)
71: (x,y) = (1.33708, 18.9287)
72: (x,y) = (-0.0771324, 20.343)
73: (x,y) = (1.82498, 19.7249)
74: (x,y) = (0.410767, 18.3107)
75: (x,y) = (-0.140508, 16.3882)
76: (x,y) = (-0.0358357, 18.3854)
77: (x,y) = (0.515439, 20.308)
78: (x,y) = (0.999283, 18.3674)
79: (x,y) = (-0.0899953, 20.0447)
80: (x,y) = (-1.37557, 18.5126)
81: (x,y) = (0.609522, 18.7564)
82: (x,y) = (-1.34677, 19.1722)
83: (x,y) = (-1.13772, 17.1831)
84: (x,y) = (-1.41606, 19.1637)
85: (x,y) = (-0.66685, 21.018)
86: (x,y) = (-0.875906, 19.029)
87: (x,y) = (-1.96518, 20.7063)
88: (x,y) = (-0.00193013, 21.088)
89: (x,y) = (1.38739, 19.6493)
90: (x,y) = (-0.503651, 18.9981)
91: (x,y) = (-1.84191, 20.4844)
92: (x,y) = (-0.841912, 22.2165)
93: (x,y) = (-1.71865, 24.0141)
94: (x,y) = (-1.10062, 22.112)
95: (x,y) = (0.790417, 22.7631)
96: (x,y) = (-1.19012, 23.0414)
97: (x,y) = (-1.74139, 24.964)
98: (x,y) = (-0.565823, 23.3459)
99: (x,y) = (-2.55487, 23.555)
100: (x,y) = (-1.58525, 21.8058)
101: (x,y) = (-0.171034, 20.3915)
102: (x,y) = (1.79858, 20.7388)
103: (x,y) = (2.34986, 22.6614)
104: (x,y) = (3.2888, 20.8955)
105: (x,y) = (2.70406, 22.8081)
106: (x,y) = (0.836895, 22.0913)
107: (x,y) = (0.386993, 20.1426)
108: (x,y) = (-1.61179, 20.0728)
109: (x,y) = (0.38547, 19.9681)
110: (x,y) = (-0.232564, 18.066)
111: (x,y) = (0.998759, 19.642)
112: (x,y) = (-0.119627, 17.984)
113: (x,y) = (0.849993, 19.7332)
114: (x,y) = (-1.02939, 19.0492)
115: (x,y) = (-2.82698, 18.1724)
116: (x,y) = (-0.827285, 18.2073)
117: (x,y) = (-1.34492, 20.1392)
118: (x,y) = (0.369411, 19.1091)
119: (x,y) = (-0.507331, 17.3115)
120: (x,y) = (0.522745, 19.0258)
121: (x,y) = (2.05483, 20.3114)
122: (x,y) = (1.3381, 18.4443)
123: (x,y) = (3.31347, 18.1314)
124: (x,y) = (1.47246, 18.9129)
125: (x,y) = (-0.524794, 19.0175)
126: (x,y) = (1.43846, 19.3991)
127: (x,y) = (-0.428701, 18.6824)
128: (x,y) = (-2.24132, 19.5276)
129: (x,y) = (-4.21669, 19.2148)
130: (x,y) = (-4.99816, 17.3738)
131: (x,y) = (-3.32081, 16.2845)
132: (x,y) = (-1.39829, 16.8358)
133: (x,y) = (-1.84819, 14.887)
134: (x,y) = (-1.74352, 12.8898)
135: (x,y) = (-3.73256, 12.6807)
136: (x,y) = (-1.74018, 12.855)
137: (x,y) = (0.200416, 12.3712)
138: (x,y) = (0.444155, 14.3563)
139: (x,y) = (1.47423, 16.0706)
140: (x,y) = (3.39675, 15.5193)
141: (x,y) = (1.63086, 14.5804)
142: (x,y) = (0.914123, 16.4475)
143: (x,y) = (0.844324, 18.4463)
144: (x,y) = (0.80942, 16.4466)
145: (x,y) = (-1.18784, 16.342)
146: (x,y) = (-0.21822, 14.5927)
147: (x,y) = (-0.21822, 12.5927)
148: (x,y) = (0.399814, 10.6906)
149: (x,y) = (0.330015, 8.69182)
150: (x,y) = (-1.4826, 9.53706)
151: (x,y) = (-3.01469, 8.25148)
152: (x,y) = (-1.75605, 6.69719)
153: (x,y) = (-1.54699, 4.70815)
154: (x,y) = (-1.30325, 6.69324)
155: (x,y) = (0.551114, 5.94403)
156: (x,y) = (2.18942, 4.79687)
157: (x,y) = (3.84749, 3.67849)
158: (x,y) = (5.10613, 5.23278)
159: (x,y) = (4.07606, 6.94711)
160: (x,y) = (2.26344, 7.79235)
161: (x,y) = (3.23306, 6.04311)
162: (x,y) = (3.30286, 8.04189)
163: (x,y) = (4.74154, 9.43121)
164: (x,y) = (5.49075, 11.2856)
165: (x,y) = (7.49045, 11.3205)
166: (x,y) = (6.20487, 9.78839)
167: (x,y) = (6.78962, 11.701)
168: (x,y) = (5.25753, 10.4154)
169: (x,y) = (6.64685, 8.97675)
170: (x,y) = (8.64197, 9.11626)
171: (x,y) = (6.81488, 8.30279)
172: (x,y) = (8.47296, 9.42117)
173: (x,y) = (10.4217, 8.97127)
174: (x,y) = (11.2984, 7.17368)
175: (x,y) = (12.3877, 5.49634)
176: (x,y) = (10.4123, 5.80921)
177: (x,y) = (9.8276, 7.72182)
178: (x,y) = (10.0019, 9.71421)
