Target Distance :100, Step Size : 2
1: (x,y) = (-1.94059, -0.483844)
2: (x,y) = (-0.940591, 1.24821)
3: (x,y) = (-1.49187, -0.674316)
4: (x,y) = (0.493226, -0.430578)
5: (x,y) = (-0.0915173, 1.48203)
6: (x,y) = (-2.08878, 1.5867)
7: (x,y) = (-1.87972, 3.57575)
8: (x,y) = (-1.60137, 5.55628)
9: (x,y) = (-1.08374, 7.48814)
10: (x,y) = (0.913524, 7.38346)
11: (x,y) = (2.83605, 6.83219)
12: (x,y) = (1.8971, 8.59808)
13: (x,y) = (-0.0952852, 8.7724)
14: (x,y) = (0.874334, 10.5216)
15: (x,y) = (2.87159, 10.417)
16: (x,y) = (2.9065, 12.4167)
17: (x,y) = (2.66276, 10.4316)
18: (x,y) = (2.21286, 12.3803)
19: (x,y) = (1.27391, 14.1462)
20: (x,y) = (0.824012, 16.0949)
21: (x,y) = (-0.794022, 14.9194)
22: (x,y) = (1.18651, 15.1977)
23: (x,y) = (1.25631, 17.1965)
24: (x,y) = (-0.297979, 15.9379)
25: (x,y) = (-0.781823, 17.8784)
26: (x,y) = (-1.12912, 15.9088)
27: (x,y) = (-2.78719, 14.7904)
28: (x,y) = (-2.64768, 16.7856)
29: (x,y) = (-3.79483, 15.1473)
30: (x,y) = (-3.1437, 13.2562)
31: (x,y) = (-2.89996, 11.2711)
32: (x,y) = (-1.41367, 9.93288)
33: (x,y) = (0.162352, 8.70156)
34: (x,y) = (-0.897486, 7.00546)
35: (x,y) = (-2.89261, 7.14498)
36: (x,y) = (-2.511, 5.18172)
37: (x,y) = (-4.47425, 4.8001)
38: (x,y) = (-2.98796, 6.13836)
39: (x,y) = (-1.1208, 6.8551)
40: (x,y) = (-0.981287, 8.85023)
41: (x,y) = (0.733047, 9.8803)
42: (x,y) = (0.454701, 7.89977)
43: (x,y) = (2.36731, 7.31502)
44: (x,y) = (1.42837, 5.54913)
45: (x,y) = (-0.527928, 5.96495)
46: (x,y) = (1.46933, 6.06962)
47: (x,y) = (1.29502, 4.07724)
48: (x,y) = (0.0363789, 2.52294)
49: (x,y) = (-1.92688, 2.14133)
50: (x,y) = (-0.0358383, 2.79246)
51: (x,y) = (-1.32141, 4.32455)
52: (x,y) = (-2.73563, 5.73876)
53: (x,y) = (-3.99427, 4.18447)
54: (x,y) = (-4.90225, 2.40246)
55: (x,y) = (-3.87217, 0.688125)
56: (x,y) = (-4.84179, -1.06111)
57: (x,y) = (-4.56345, -3.04165)
58: (x,y) = (-4.59835, -1.04196)
59: (x,y) = (-6.31269, -0.0118793)
60: (x,y) = (-4.48559, 0.801594)
61: (x,y) = (-3.31002, 2.41963)
62: (x,y) = (-5.26632, 2.0038)
63: (x,y) = (-4.17704, 0.326463)
64: (x,y) = (-4.72832, -1.59606)
65: (x,y) = (-3.7587, 0.153179)
66: (x,y) = (-4.57217, -1.67391)
67: (x,y) = (-3.06275, -2.98603)
68: (x,y) = (-2.47801, -4.89864)
69: (x,y) = (-4.0101, -6.18421)
70: (x,y) = (-2.0538, -6.60004)
71: (x,y) = (-2.15847, -4.60278)
72: (x,y) = (-0.769156, -3.1641)
73: (x,y) = (-1.7081, -1.3982)
74: (x,y) = (-0.0120029, -2.45804)
75: (x,y) = (1.32626, -3.94433)
76: (x,y) = (3.32595, -3.97924)
77: (x,y) = (5.31105, -3.7355)
78: (x,y) = (3.34779, -4.11712)
79: (x,y) = (4.90208, -5.37576)
80: (x,y) = (6.78147, -6.0598)
81: (x,y) = (8.69408, -5.47505)
82: (x,y) = (6.75349, -4.99121)
83: (x,y) = (4.76444, -5.20027)
84: (x,y) = (2.79483, -5.54756)
85: (x,y) = (4.56072, -6.48651)
86: (x,y) = (4.63052, -4.48772)
87: (x,y) = (3.75378, -6.28531)
88: (x,y) = (4.69272, -4.51942)
89: (x,y) = (6.51981, -3.70594)
90: (x,y) = (6.55472, -5.70564)
91: (x,y) = (5.02263, -6.99121)
92: (x,y) = (3.53634, -5.65295)
93: (x,y) = (5.13361, -4.44932)
94: (x,y) = (4.64977, -6.38992)
95: (x,y) = (6.64855, -6.45971)
96: (x,y) = (8.62393, -6.14685)
97: (x,y) = (8.27663, -4.17723)
98: (x,y) = (9.9347, -5.29562)
99: (x,y) = (9.21797, -3.42845)
100: (x,y) = (8.63322, -5.34106)
101: (x,y) = (10.3293, -4.28123)
102: (x,y) = (11.3594, -2.56689)
103: (x,y) = (10.1838, -0.948857)
104: (x,y) = (9.56579, -2.85097)
105: (x,y) = (11.5064, -3.33481)
106: (x,y) = (9.58386, -3.88609)
107: (x,y) = (9.51406, -1.88731)
108: (x,y) = (10.9527, -3.27662)
109: (x,y) = (9.98312, -1.52738)
110: (x,y) = (8.25107, -0.527384)
111: (x,y) = (10.2143, -0.145766)
112: (x,y) = (8.68224, -1.43134)
113: (x,y) = (9.02953, 0.538274)
114: (x,y) = (7.12742, 1.15631)
115: (x,y) = (6.21944, 2.93832)
116: (x,y) = (6.28924, 0.939539)
117: (x,y) = (4.55719, 1.93954)
118: (x,y) = (3.32586, 0.363518)
119: (x,y) = (5.28216, -0.0523054)
120: (x,y) = (7.20468, 0.498969)
121: (x,y) = (5.24839, 0.914793)
122: (x,y) = (3.63035, 2.09036)
123: (x,y) = (2.4832, 3.72867)
124: (x,y) = (2.34369, 1.73354)
125: (x,y) = (0.531072, 0.888303)
126: (x,y) = (-1.28154, 1.73354)
127: (x,y) = (0.693833, 1.42067)
128: (x,y) = (-0.924201, 0.2451)
129: (x,y) = (1.07458, 0.314899)
130: (x,y) = (1.38745, 2.29028)
131: (x,y) = (1.49212, 4.28753)
132: (x,y) = (3.45538, 3.90592)
133: (x,y) = (2.14326, 2.3965)
134: (x,y) = (1.65941, 4.33709)
135: (x,y) = (0.541029, 2.67901)
136: (x,y) = (1.44901, 4.46103)
137: (x,y) = (3.3896, 4.94487)
138: (x,y) = (1.42635, 4.56325)
139: (x,y) = (3.17559, 5.53287)
140: (x,y) = (4.87168, 6.59271)
141: (x,y) = (3.64036, 5.01669)
142: (x,y) = (5.35469, 6.04676)
143: (x,y) = (5.35469, 8.04676)
144: (x,y) = (6.47308, 6.38869)
145: (x,y) = (7.09111, 4.48658)
146: (x,y) = (7.33485, 6.47167)
147: (x,y) = (6.33485, 4.73962)
148: (x,y) = (7.48201, 6.37792)
149: (x,y) = (7.23827, 4.39283)
150: (x,y) = (9.19456, 3.97701)
151: (x,y) = (7.59729, 5.18064)
152: (x,y) = (5.88296, 4.15056)
153: (x,y) = (6.97223, 2.47322)
154: (x,y) = (8.54826, 3.70454)
155: (x,y) = (10.548, 3.66964)
156: (x,y) = (8.70694, 2.88818)
157: (x,y) = (8.81161, 4.88543)
158: (x,y) = (10.0703, 3.33114)
159: (x,y) = (12.0021, 3.84878)
160: (x,y) = (12.5868, 5.76139)
161: (x,y) = (13.238, 3.87035)
162: (x,y) = (15.2231, 4.11409)
163: (x,y) = (14.9102, 2.13871)
164: (x,y) = (15.8492, 0.37282)
165: (x,y) = (15.8142, 2.37252)
166: (x,y) = (15.263, 0.449992)
167: (x,y) = (16.3228, -1.2461)
168: (x,y) = (14.4957, -2.05958)
169: (x,y) = (12.5831, -1.47483)
170: (x,y) = (14.1152, -2.76041)
171: (x,y) = (12.4769, -3.90756)
172: (x,y) = (12.5816, -1.9103)
173: (x,y) = (14.5134, -1.39267)
174: (x,y) = (13.0747, -2.78198)
175: (x,y) = (11.2476, -3.59546)
176: (x,y) = (13.2464, -3.66525)
177: (x,y) = (13.7641, -5.59711)
178: (x,y) = (15.7628, -5.66691)
179: (x,y) = (13.7875, -5.97977)
180: (x,y) = (15.1257, -7.46606)
181: (x,y) = (15.5756, -9.4148)
182: (x,y) = (13.5769, -9.4846)
183: (x,y) = (15.0396, -8.12061)
184: (x,y) = (14.1943, -9.93322)
185: (x,y) = (15.8524, -11.0516)
186: (x,y) = (16.6339, -12.8926)
187: (x,y) = (18.6311, -12.9973)
188: (x,y) = (20.4582, -13.8108)
189: (x,y) = (18.5264, -13.2931)
190: (x,y) = (18.1791, -15.2627)
191: (x,y) = (19.8752, -14.2029)
192: (x,y) = (20.8141, -12.437)
193: (x,y) = (21.9034, -10.7597)
194: (x,y) = (22.1817, -8.77913)
195: (x,y) = (22.0771, -10.7764)
196: (x,y) = (20.295, -11.6844)
197: (x,y) = (20.086, -9.69533)
198: (x,y) = (21.818, -10.6953)
199: (x,y) = (23.7668, -10.2454)
200: (x,y) = (23.0827, -12.1248)
201: (x,y) = (24.8148, -13.1248)
202: (x,y) = (23.2388, -14.3561)
203: (x,y) = (23.2737, -12.3564)
204: (x,y) = (21.4917, -13.2644)
205: (x,y) = (23.3327, -14.0459)
206: (x,y) = (25.2348, -13.4278)
207: (x,y) = (26.9121, -14.5171)
208: (x,y) = (26.5305, -12.5539)
209: (x,y) = (28.2266, -13.6137)
210: (x,y) = (29.6408, -12.1995)
211: (x,y) = (27.8588, -13.1075)
212: (x,y) = (29.0624, -11.5102)
213: (x,y) = (29.9392, -13.3078)
214: (x,y) = (28.0073, -13.8254)
215: (x,y) = (26.6952, -15.3348)
216: (x,y) = (26.7999, -17.3321)
217: (x,y) = (27.4179, -15.43)
218: (x,y) = (26.968, -17.3787)
219: (x,y) = (28.9485, -17.6571)
220: (x,y) = (30.2607, -16.1477)
221: (x,y) = (30.1211, -14.1525)
222: (x,y) = (30.8379, -12.2854)
223: (x,y) = (30.9426, -14.2826)
224: (x,y) = (30.0036, -12.5167)
225: (x,y) = (31.3929, -13.9554)
226: (x,y) = (29.4704, -13.4041)
227: (x,y) = (27.9161, -14.6628)
228: (x,y) = (26.1185, -15.5395)
229: (x,y) = (26.4314, -17.5149)
230: (x,y) = (25.1728, -19.0692)
231: (x,y) = (23.1804, -19.2435)
232: (x,y) = (25.1801, -19.2784)
233: (x,y) = (26.0568, -21.076)
234: (x,y) = (28.0492, -21.2503)
235: (x,y) = (29.5813, -19.9647)
236: (x,y) = (28.8321, -18.1104)
237: (x,y) = (30.4501, -19.2859)
238: (x,y) = (32.2477, -18.4092)
239: (x,y) = (32.526, -16.4287)
240: (x,y) = (30.8117, -17.4587)
241: (x,y) = (29.5261, -15.9266)
242: (x,y) = (30.1109, -17.8393)
243: (x,y) = (31.6652, -19.0979)
244: (x,y) = (33.0034, -20.5842)
245: (x,y) = (33.9424, -18.8183)
246: (x,y) = (33.0971, -17.0057)
247: (x,y) = (34.157, -15.3096)
248: (x,y) = (36.1323, -14.9967)
249: (x,y) = (35.4156, -13.1295)
250: (x,y) = (36.2608, -11.3169)
251: (x,y) = (38.1019, -12.0984)
252: (x,y) = (37.7546, -10.1288)
253: (x,y) = (36.8156, -8.36289)
254: (x,y) = (35.846, -6.61365)
255: (x,y) = (37.5421, -5.55381)
256: (x,y) = (39.5272, -5.79755)
257: (x,y) = (40.6165, -7.47489)
258: (x,y) = (42.0551, -6.08557)
259: (x,y) = (43.7695, -7.11565)
260: (x,y) = (44.0478, -5.13511)
261: (x,y) = (44.0129, -7.13481)
262: (x,y) = (45.8255, -6.28957)
263: (x,y) = (47.7952, -6.63687)
264: (x,y) = (45.9041, -7.288)
265: (x,y) = (47.6184, -8.31808)
266: (x,y) = (49.6172, -8.24828)
267: (x,y) = (47.9592, -9.36666)
268: (x,y) = (48.4768, -7.43481)
269: (x,y) = (48.8241, -5.4652)
270: (x,y) = (49.2399, -3.5089)
271: (x,y) = (47.2475, -3.68321)
272: (x,y) = (46.4023, -1.8706)
273: (x,y) = (47.0534, -3.76164)
274: (x,y) = (47.9924, -5.52753)
275: (x,y) = (49.79, -4.65079)
276: (x,y) = (47.7927, -4.75546)
277: (x,y) = (46.3064, -6.09372)
278: (x,y) = (44.3432, -6.47534)
279: (x,y) = (43.196, -4.83704)
280: (x,y) = (41.1987, -4.94171)
281: (x,y) = (41.9155, -6.80887)
282: (x,y) = (43.6814, -5.86993)
283: (x,y) = (42.9646, -7.73709)
284: (x,y) = (42.3799, -5.82448)
285: (x,y) = (44.0182, -4.67732)
286: (x,y) = (43.173, -2.86471)
287: (x,y) = (41.2819, -3.51584)
288: (x,y) = (43.184, -4.13388)
289: (x,y) = (45.0384, -3.38467)
290: (x,y) = (46.0384, -1.65261)
291: (x,y) = (45.0083, -3.36695)
292: (x,y) = (47.008, -3.33204)
293: (x,y) = (45.644, -4.79475)
294: (x,y) = (46.7333, -6.47209)
295: (x,y) = (44.8015, -6.98973)
296: (x,y) = (43.8015, -5.25768)
297: (x,y) = (45.7966, -5.39719)
298: (x,y) = (44.6782, -7.05527)
299: (x,y) = (44.2283, -9.00401)
300: (x,y) = (44.8463, -7.1019)
301: (x,y) = (46.4644, -5.92632)
302: (x,y) = (47.6957, -4.3503)
303: (x,y) = (45.8831, -5.19554)
304: (x,y) = (43.898, -5.43928)
305: (x,y) = (42.7224, -3.82124)
306: (x,y) = (44.6857, -3.43963)
307: (x,y) = (46.6844, -3.50943)
308: (x,y) = (45.0872, -2.3058)
309: (x,y) = (46.3185, -3.88182)
310: (x,y) = (45.2884, -5.59615)
311: (x,y) = (43.2994, -5.80521)
312: (x,y) = (42.0407, -7.3595)
313: (x,y) = (44.0331, -7.53381)
314: (x,y) = (45.0027, -9.28305)
315: (x,y) = (43.2535, -8.31343)
316: (x,y) = (42.8377, -6.35714)
317: (x,y) = (41.7484, -4.6798)
318: (x,y) = (43.5894, -5.46126)
319: (x,y) = (43.1736, -7.41755)
320: (x,y) = (43.3479, -9.40994)
321: (x,y) = (42.4399, -11.192)
322: (x,y) = (42.8898, -13.1407)
323: (x,y) = (42.9247, -11.141)
324: (x,y) = (41.1427, -10.233)
325: (x,y) = (39.2021, -10.7169)
